employer,job_title,closing_date,publishing_date,job_description,city,country,region,job_description_upper,job_title_cleaned,job_title_tokenized,job_title_lemmatized,job_description_cleaned,job_description_tokenized,job_description_lemmatized
United Nations World Food Programme,HR Business Support Assistant ,17.05.2022,14.05.2022,"Completion of secondary school education is required, a post-secondary certificate in the related functional area is desirable, University degree in Human Resources, Business administration, or other related fields would be an advantage Minimum four years progressively responsible experience in Human Resources related filed in a global/Multinational Organization, good communication skills (both written and oral) and understanding of HR principle and their application to respond to and resolve a range of complex HR queries, ability to build relationships with a variety of individuals across and outside WFP to effectively understand and meet HR operational delivery requirements, ability to work independently with initiative and strong problem-solving skills Fluency in English and Thai is required ",Bangkok,Thailand,Asia,4,hr business support assistant ,"['hr', 'business', 'support', 'assistant']",hr business support assistant,completion of secondary school education is required  a post secondary certificate in the related functional area is desirable  university degree in human resources  business administration  or other related fields would be an advantage minimum four years progressively responsible experience in human resources related filed in a global multinational organization  good communication skills  both written and oral  and understanding of hr principle and their application to respond to and resolve a range of complex hr queries  ability to build relationships with a variety of individuals across and outside wfp to effectively understand and meet hr operational delivery requirements  ability to work independently with initiative and strong problem solving skills fluency in english and thai is required ,"['completion', 'of', 'secondary', 'school', 'education', 'is', 'required', 'a', 'post', 'secondary', 'certificate', 'in', 'the', 'related', 'functional', 'area', 'is', 'desirable', 'university', 'degree', 'in', 'human', 'resources', 'business', 'administration', 'or', 'other', 'related', 'fields', 'would', 'be', 'an', 'advantage', 'minimum', 'four', 'years', 'progressively', 'responsible', 'experience', 'in', 'human', 'resources', 'related', 'filed', 'in', 'a', 'global', 'multinational', 'organization', 'good', 'communication', 'skills', 'both', 'written', 'and', 'oral', 'and', 'understanding', 'of', 'hr', 'principle', 'and', 'their', 'application', 'to', 'respond', 'to', 'and', 'resolve', 'a', 'range', 'of', 'complex', 'hr', 'queries', 'ability', 'to', 'build', 'relationships', 'with', 'a', 'variety', 'of', 'individuals', 'across', 'and', 'outside', 'wfp', 'to', 'effectively', 'understand', 'and', 'meet', 'hr', 'operational', 'delivery', 'requirements', 'ability', 'to', 'work', 'independently', 'with', 'initiative', 'and', 'strong', 'problem', 'solving', 'skills', 'fluency', 'in', 'english', 'and', 'thai', 'is', 'required']",completion secondary school education post secondary certificate functional area desirable university degree human resource business administration field would advantage minimum four year progressively responsible human resource filed global multinational organization good communication skill written oral understanding hr principle application respond resolve range complex hr query build relationship variety individual across outside wfp effectively understand meet hr operational delivery requirement independently initiative strong problem solving skill fluency english thai
UNICEF,Child Protection and Education Expert ,06.06.2023,25.05.2023,"Bachelor degree or equivalent in Social Sciences, International Relations, Law, Public Policy, Psychology, Social Work, Anthropology, Sociology or Political Science, or other relevant field 15 years of experience in child protection, education, emergencies, migration and/or gender issues, experience with indigenous population, monitoring of human rights and advocacy is an asset, advanced knowledge of State and municipal governments and civil society organisations and the system of rights guarantee (SGD), Background and familiarity with international human rights, children`s rights and emergency response, excellent communication and interpersonal skills, and proven ability to facilitating interagency processes to achieve a common goal, have affinity with or interest in child rights, volunteerism as a mechanism for durable development, and the UN System, Computer and database literacy will be an asset Fluent, required English, level: fluent, desirable ",Rio de Janeiro,Brasil,Latin America and the Caribbean,2,child protection and education expert ,"['child', 'protection', 'and', 'education', 'expert']",child protection education expert,bachelor degree or equivalent in social sciences  international relations  law  public policy  psychology  social work  anthropology  sociology or political science  or other relevant field    years of experience in child protection  education  emergencies  migration and or gender issues  experience with indigenous population  monitoring of human rights and advocacy is an asset  advanced knowledge of state and municipal governments and civil society organisations and the system of rights guarantee  sgd   background and familiarity with international human rights  children s rights and emergency response  excellent communication and interpersonal skills  and proven ability to facilitating interagency processes to achieve a common goal  have affinity with or interest in child rights  volunteerism as a mechanism for durable development  and the un system  computer and database literacy will be an asset fluent  required english  level  fluent  desirable ,"['bachelor', 'degree', 'or', 'equivalent', 'in', 'social', 'sciences', 'international', 'relations', 'law', 'public', 'policy', 'psychology', 'social', 'work', 'anthropology', 'sociology', 'or', 'political', 'science', 'or', 'other', 'relevant', 'field', 'years', 'of', 'experience', 'in', 'child', 'protection', 'education', 'emergencies', 'migration', 'and', 'or', 'gender', 'issues', 'experience', 'with', 'indigenous', 'population', 'monitoring', 'of', 'human', 'rights', 'and', 'advocacy', 'is', 'an', 'asset', 'advanced', 'knowledge', 'of', 'state', 'and', 'municipal', 'governments', 'and', 'civil', 'society', 'organisations', 'and', 'the', 'system', 'of', 'rights', 'guarantee', 'sgd', 'background', 'and', 'familiarity', 'with', 'international', 'human', 'rights', 'children', 's', 'rights', 'and', 'emergency', 'response', 'excellent', 'communication', 'and', 'interpersonal', 'skills', 'and', 'proven', 'ability', 'to', 'facilitating', 'interagency', 'processes', 'to', 'achieve', 'a', 'common', 'goal', 'have', 'affinity', 'with', 'or', 'interest', 'in', 'child', 'rights', 'volunteerism', 'as', 'a', 'mechanism', 'for', 'durable', 'development', 'and', 'the', 'un', 'system', 'computer', 'and', 'database', 'literacy', 'will', 'be', 'an', 'asset', 'fluent', 'required', 'english', 'level', 'fluent', 'desirable']",bachelor degree equivalent social science international relation law public policy psychology social anthropology sociology political science field year child protection education emergency migration gender issue indigenous population monitoring human right advocacy asset advanced state municipal government civil society organisation system right guarantee sgd background familiarity international human right child right emergency response excellent communication interpersonal skill proven facilitating interagency process achieve common goal affinity interest child right volunteerism mechanism durable development un system computer database literacy asset fluent english level fluent desirable
United Nations World Food Programme,Programme Associate ,17.03.2023,03.08.2023,"Completion of secondary school education, a post-secondary certificate in the related functional area Six or more years of progressively responsible work experience in the relative business stream with experience in general administrative work, Proficient in the use of office equipment and computer software packages, such as Microsoft Word, knowledge of work routines and methods in order to complete processes under minimal supervision, uses tact and courtesy to give and receive information to a wide range of individuals, ability to identify data discrepancies and rectify problems requiring attention, ability to offer guidance or basic on-the-job training to more junior staff Fluency in both oral and written communication in English and Myanmar and local dialect at the duty station will be an added advantage ",Taunggyi,Myanmar,Asia,0,programme associate ,"['programme', 'associate']",programme associate,completion of secondary school education  a post secondary certificate in the related functional area six or more years of progressively responsible work experience in the relative business stream with experience in general administrative work  proficient in the use of office equipment and computer software packages  such as microsoft word  knowledge of work routines and methods in order to complete processes under minimal supervision  uses tact and courtesy to give and receive information to a wide range of individuals  ability to identify data discrepancies and rectify problems requiring attention  ability to offer guidance or basic on the job training to more junior staff fluency in both oral and written communication in english and myanmar and local dialect at the duty station will be an added advantage ,"['completion', 'of', 'secondary', 'school', 'education', 'a', 'post', 'secondary', 'certificate', 'in', 'the', 'related', 'functional', 'area', 'six', 'or', 'more', 'years', 'of', 'progressively', 'responsible', 'work', 'experience', 'in', 'the', 'relative', 'business', 'stream', 'with', 'experience', 'in', 'general', 'administrative', 'work', 'proficient', 'in', 'the', 'use', 'of', 'office', 'equipment', 'and', 'computer', 'software', 'packages', 'such', 'as', 'microsoft', 'word', 'knowledge', 'of', 'work', 'routines', 'and', 'methods', 'in', 'order', 'to', 'complete', 'processes', 'under', 'minimal', 'supervision', 'uses', 'tact', 'and', 'courtesy', 'to', 'give', 'and', 'receive', 'information', 'to', 'a', 'wide', 'range', 'of', 'individuals', 'ability', 'to', 'identify', 'data', 'discrepancies', 'and', 'rectify', 'problems', 'requiring', 'attention', 'ability', 'to', 'offer', 'guidance', 'or', 'basic', 'on', 'the', 'job', 'training', 'to', 'more', 'junior', 'staff', 'fluency', 'in', 'both', 'oral', 'and', 'written', 'communication', 'in', 'english', 'and', 'myanmar', 'and', 'local', 'dialect', 'at', 'the', 'duty', 'station', 'will', 'be', 'an', 'added', 'advantage']",completion secondary school education post secondary certificate functional area six year progressively responsible relative business stream general administrative proficient use office equipment computer software package microsoft word routine method order complete process minimal supervision us tact courtesy give receive information wide range individual identify data discrepancy rectify problem requiring attention offer guidance basic training junior staff fluency oral written communication english myanmar local dialect duty station added advantage
United Nations World Food Programme,Human Resources Associate ,08.09.2022,31.08.2022,"Completion of secondary school education, a post-secondary certificate in the related functional area Six or more years of progressively responsible support work experience in general administrative work, including at least three years in human resources or other related field, ability to conduct basic analyses in order to generate periodic reports and make recommendations for further actions, ability to build relationships with a variety of individuals across functions and outside WFP in order to effectively contribute to the functioning of the unit, experience in supervising and co-ordinating tasks of subordinates to be able to train and supervise junior staff members within the HR function, support activities in the areas of work allocated by the professional officer in compliance with relevant processes and procedures Fluency in English is required ",Chisinau,Moldova,Europe,2,human resources associate ,"['human', 'resources', 'associate']",human resource associate,completion of secondary school education  a post secondary certificate in the related functional area six or more years of progressively responsible support work experience in general administrative work  including at least three years in human resources or other related field  ability to conduct basic analyses in order to generate periodic reports and make recommendations for further actions  ability to build relationships with a variety of individuals across functions and outside wfp in order to effectively contribute to the functioning of the unit  experience in supervising and co ordinating tasks of subordinates to be able to train and supervise junior staff members within the hr function  support activities in the areas of work allocated by the professional officer in compliance with relevant processes and procedures fluency in english is required ,"['completion', 'of', 'secondary', 'school', 'education', 'a', 'post', 'secondary', 'certificate', 'in', 'the', 'related', 'functional', 'area', 'six', 'or', 'more', 'years', 'of', 'progressively', 'responsible', 'support', 'work', 'experience', 'in', 'general', 'administrative', 'work', 'including', 'at', 'least', 'three', 'years', 'in', 'human', 'resources', 'or', 'other', 'related', 'field', 'ability', 'to', 'conduct', 'basic', 'analyses', 'in', 'order', 'to', 'generate', 'periodic', 'reports', 'and', 'make', 'recommendations', 'for', 'further', 'actions', 'ability', 'to', 'build', 'relationships', 'with', 'a', 'variety', 'of', 'individuals', 'across', 'functions', 'and', 'outside', 'wfp', 'in', 'order', 'to', 'effectively', 'contribute', 'to', 'the', 'functioning', 'of', 'the', 'unit', 'experience', 'in', 'supervising', 'and', 'co', 'ordinating', 'tasks', 'of', 'subordinates', 'to', 'be', 'able', 'to', 'train', 'and', 'supervise', 'junior', 'staff', 'members', 'within', 'the', 'hr', 'function', 'support', 'activities', 'in', 'the', 'areas', 'of', 'work', 'allocated', 'by', 'the', 'professional', 'officer', 'in', 'compliance', 'with', 'relevant', 'processes', 'and', 'procedures', 'fluency', 'in', 'english', 'is', 'required']",completion secondary school education post secondary certificate functional area six year progressively responsible support general administrative including least three year human resource field conduct basic analysis order generate periodic report make recommendation action build relationship variety individual across function outside wfp order effectively contribute functioning unit supervising co ordinating task subordinate able train supervise junior staff member within hr function support activity area allocated professional officer compliance process procedure fluency english
United Nations World Food Programme,Finance Assistant ,25.05.2022,14.05.2022,"Minimum of four years or more in the field of Finance or any other relevant field, has experience collecting and monitoring financial data on projects and programmes, assessing financial health and status, and reporting findings to senior leaders, perform administrative duties related to the monitoring and recording of fixed assets, spend on fuel and spare parts for vehicles and generators, to ensure that the databases are accurately updated, maintain the web-based register for all invoices and payment transfers and record paperwork, to ensure that all documents are maintained and filed in compliance with WFP standards and guidelines Fluency in both English and Arabic ",Khartoum,Sudan,Africa,1,finance assistant ,"['finance', 'assistant']",finance assistant,minimum of four years or more in the field of finance or any other relevant field  has experience collecting and monitoring financial data on projects and programmes  assessing financial health and status  and reporting findings to senior leaders  perform administrative duties related to the monitoring and recording of fixed assets  spend on fuel and spare parts for vehicles and generators  to ensure that the databases are accurately updated  maintain the web based register for all invoices and payment transfers and record paperwork  to ensure that all documents are maintained and filed in compliance with wfp standards and guidelines fluency in both english and arabic ,"['minimum', 'of', 'four', 'years', 'or', 'more', 'in', 'the', 'field', 'of', 'finance', 'or', 'any', 'other', 'relevant', 'field', 'has', 'experience', 'collecting', 'and', 'monitoring', 'financial', 'data', 'on', 'projects', 'and', 'programmes', 'assessing', 'financial', 'health', 'and', 'status', 'and', 'reporting', 'findings', 'to', 'senior', 'leaders', 'perform', 'administrative', 'duties', 'related', 'to', 'the', 'monitoring', 'and', 'recording', 'of', 'fixed', 'assets', 'spend', 'on', 'fuel', 'and', 'spare', 'parts', 'for', 'vehicles', 'and', 'generators', 'to', 'ensure', 'that', 'the', 'databases', 'are', 'accurately', 'updated', 'maintain', 'the', 'web', 'based', 'register', 'for', 'all', 'invoices', 'and', 'payment', 'transfers', 'and', 'record', 'paperwork', 'to', 'ensure', 'that', 'all', 'documents', 'are', 'maintained', 'and', 'filed', 'in', 'compliance', 'with', 'wfp', 'standards', 'and', 'guidelines', 'fluency', 'in', 'both', 'english', 'and', 'arabic']",minimum four year field finance field collecting monitoring financial data project programme assessing financial health status reporting finding senior leader perform administrative duty monitoring recording fixed asset spend fuel spare part vehicle generator ensure database accurately updated maintain web based register invoice payment transfer record paperwork ensure document maintained filed compliance wfp standard guideline fluency english arabic
The World Bank,Financial Analyst ,27.04.2023,18.04.2023,"Master’s degree in Finance, Business, Law, Risk Management, or Computer Science At least three years of relevant experience in pre-trade investment monitoring and surveillance, financial risk management, or working with trading platforms, experience or advanced knowledge of Bloomberg’s Compliance Violations Manager (VMGR) and Compliance Manager (CMGR) is required, finance or Treasury-related certifications (CFA, FRM, PRM or other equivalent) would be a strong plus, proven knowledge of programming languages (e.g., Python) and data visualization tools is highly desirable Excellent verbal and written communication skills in English ",Sofia,Bulgaria,Europe,5,financial analyst ,"['financial', 'analyst']",financial analyst,master s degree in finance  business  law  risk management  or computer science at least three years of relevant experience in pre trade investment monitoring and surveillance  financial risk management  or working with trading platforms  experience or advanced knowledge of bloomberg s compliance violations manager  vmgr  and compliance manager  cmgr  is required  finance or treasury related certifications  cfa  frm  prm or other equivalent  would be a strong plus  proven knowledge of programming languages  e g   python  and data visualization tools is highly desirable excellent verbal and written communication skills in english ,"['master', 's', 'degree', 'in', 'finance', 'business', 'law', 'risk', 'management', 'or', 'computer', 'science', 'at', 'least', 'three', 'years', 'of', 'relevant', 'experience', 'in', 'pre', 'trade', 'investment', 'monitoring', 'and', 'surveillance', 'financial', 'risk', 'management', 'or', 'working', 'with', 'trading', 'platforms', 'experience', 'or', 'advanced', 'knowledge', 'of', 'bloomberg', 's', 'compliance', 'violations', 'manager', 'vmgr', 'and', 'compliance', 'manager', 'cmgr', 'is', 'required', 'finance', 'or', 'treasury', 'related', 'certifications', 'cfa', 'frm', 'prm', 'or', 'other', 'equivalent', 'would', 'be', 'a', 'strong', 'plus', 'proven', 'knowledge', 'of', 'programming', 'languages', 'e', 'g', 'python', 'and', 'data', 'visualization', 'tools', 'is', 'highly', 'desirable', 'excellent', 'verbal', 'and', 'written', 'communication', 'skills', 'in', 'english']",master degree finance business law risk management computer science least three year pre trade investment monitoring surveillance financial risk management working trading platform advanced bloomberg compliance violation manager vmgr compliance manager cmgr finance treasury certification cfa frm prm equivalent would strong plus proven programming language e g python data visualization tool highly desirable excellent verbal written communication skill english
Organization for Security and Co-operation in Europe,Legal Officer ,27.04.2023,03.07.2023,"A minimum of six years of relevant professional experience, including a minimum of two years with a governmental administration or international organization, excellent interpersonal and analytical skills, demonstrated gender awareness and sensitivity, and ability to integrate a gender perspective into tasks and activities, ability and willingness to work as a member of a team, with people of different cultural and religious backgrounds, different gender, and diverse political views, while maintaining impartiality and objectivity, ability to operate Windows applications including word processing, internet and other software applications Professional fluency in English, with excellent oral and drafting skills, knowledge of other OSCE working languages is desirable ",Vienna,Austria,Europe,2,legal officer ,"['legal', 'officer']",legal officer,a minimum of six years of relevant professional experience  including a minimum of two years with a governmental administration or international organization  excellent interpersonal and analytical skills  demonstrated gender awareness and sensitivity  and ability to integrate a gender perspective into tasks and activities  ability and willingness to work as a member of a team  with people of different cultural and religious backgrounds  different gender  and diverse political views  while maintaining impartiality and objectivity  ability to operate windows applications including word processing  internet and other software applications professional fluency in english  with excellent oral and drafting skills  knowledge of other osce working languages is desirable ,"['a', 'minimum', 'of', 'six', 'years', 'of', 'relevant', 'professional', 'experience', 'including', 'a', 'minimum', 'of', 'two', 'years', 'with', 'a', 'governmental', 'administration', 'or', 'international', 'organization', 'excellent', 'interpersonal', 'and', 'analytical', 'skills', 'demonstrated', 'gender', 'awareness', 'and', 'sensitivity', 'and', 'ability', 'to', 'integrate', 'a', 'gender', 'perspective', 'into', 'tasks', 'and', 'activities', 'ability', 'and', 'willingness', 'to', 'work', 'as', 'a', 'member', 'of', 'a', 'team', 'with', 'people', 'of', 'different', 'cultural', 'and', 'religious', 'backgrounds', 'different', 'gender', 'and', 'diverse', 'political', 'views', 'while', 'maintaining', 'impartiality', 'and', 'objectivity', 'ability', 'to', 'operate', 'windows', 'applications', 'including', 'word', 'processing', 'internet', 'and', 'other', 'software', 'applications', 'professional', 'fluency', 'in', 'english', 'with', 'excellent', 'oral', 'and', 'drafting', 'skills', 'knowledge', 'of', 'other', 'osce', 'working', 'languages', 'is', 'desirable']",minimum six year professional including minimum two year governmental administration international organization excellent interpersonal analytical skill demonstrated gender awareness sensitivity integrate gender perspective task activity willingness member team people different cultural religious background different gender diverse political view maintaining impartiality objectivity operate window application including word processing internet software application professional fluency english excellent oral drafting skill osce working language desirable
The World Bank,Project and Learning Tools Development Coordinator ,27.02.2023,25.02.2023,"Experience in leading teams and coordinating complex activities in connection with the development of training programs and tools (experience with entities of various sizes, and in developing countries and FCS is highly desirable), experience in engaging with senior officials, in both the public and private sector, proven ability to work in interdisciplinary task teams/working groups across organizational boundaries, including with senior officials, both internally and externally Fluency in English is required ",Washington,United States,Northern America,1,project and learning tools development coordinator ,"['project', 'and', 'learning', 'tools', 'development', 'coordinator']",project learning tool development coordinator,experience in leading teams and coordinating complex activities in connection with the development of training programs and tools  experience with entities of various sizes  and in developing countries and fcs is highly desirable   experience in engaging with senior officials  in both the public and private sector  proven ability to work in interdisciplinary task teams working groups across organizational boundaries  including with senior officials  both internally and externally fluency in english is required ,"['experience', 'in', 'leading', 'teams', 'and', 'coordinating', 'complex', 'activities', 'in', 'connection', 'with', 'the', 'development', 'of', 'training', 'programs', 'and', 'tools', 'experience', 'with', 'entities', 'of', 'various', 'sizes', 'and', 'in', 'developing', 'countries', 'and', 'fcs', 'is', 'highly', 'desirable', 'experience', 'in', 'engaging', 'with', 'senior', 'officials', 'in', 'both', 'the', 'public', 'and', 'private', 'sector', 'proven', 'ability', 'to', 'work', 'in', 'interdisciplinary', 'task', 'teams', 'working', 'groups', 'across', 'organizational', 'boundaries', 'including', 'with', 'senior', 'officials', 'both', 'internally', 'and', 'externally', 'fluency', 'in', 'english', 'is', 'required']",leading team coordinating complex activity connection development training program tool entity various size developing country fcs highly desirable engaging senior official public private sector proven interdisciplinary task team working group across organizational boundary including senior official internally externally fluency english
United Nations World Food Programme,Innovation Scaling Product Manager ,06.07.2022,25.06.2022,"At least five years of progressively responsible international experience in a product role, including in a start-up or innovation accelerator, innovations in private businesses or innovations in the humanitarian or international development sector, direct experience in product management is a must, experience in scaling digital health products and/or innovations in multiple locations and settings is a plus, passion and understanding of technology innovations (e.g. mobile apps, blockchain, artificial intelligence) and business model innovations (e.g. innovative finance, sharing economy), experience in product and innovation project life cycle - from ideation, minimum viable product, testing, prototyping and implementation Fluency in English is required ",Munich,Germany,Europe,0,innovation scaling product manager ,"['innovation', 'scaling', 'product', 'manager']",innovation scaling product manager,at least five years of progressively responsible international experience in a product role  including in a start up or innovation accelerator  innovations in private businesses or innovations in the humanitarian or international development sector  direct experience in product management is a must  experience in scaling digital health products and or innovations in multiple locations and settings is a plus  passion and understanding of technology innovations  e g  mobile apps  blockchain  artificial intelligence  and business model innovations  e g  innovative finance  sharing economy   experience in product and innovation project life cycle   from ideation  minimum viable product  testing  prototyping and implementation fluency in english is required ,"['at', 'least', 'five', 'years', 'of', 'progressively', 'responsible', 'international', 'experience', 'in', 'a', 'product', 'role', 'including', 'in', 'a', 'start', 'up', 'or', 'innovation', 'accelerator', 'innovations', 'in', 'private', 'businesses', 'or', 'innovations', 'in', 'the', 'humanitarian', 'or', 'international', 'development', 'sector', 'direct', 'experience', 'in', 'product', 'management', 'is', 'a', 'must', 'experience', 'in', 'scaling', 'digital', 'health', 'products', 'and', 'or', 'innovations', 'in', 'multiple', 'locations', 'and', 'settings', 'is', 'a', 'plus', 'passion', 'and', 'understanding', 'of', 'technology', 'innovations', 'e', 'g', 'mobile', 'apps', 'blockchain', 'artificial', 'intelligence', 'and', 'business', 'model', 'innovations', 'e', 'g', 'innovative', 'finance', 'sharing', 'economy', 'experience', 'in', 'product', 'and', 'innovation', 'project', 'life', 'cycle', 'from', 'ideation', 'minimum', 'viable', 'product', 'testing', 'prototyping', 'and', 'implementation', 'fluency', 'in', 'english', 'is', 'required']",least five year progressively responsible international product including start innovation accelerator innovation private business innovation humanitarian international development sector direct product management must scaling digital health product innovation multiple location setting plus passion understanding technology innovation e g mobile apps blockchain artificial intelligence business model innovation e g innovative finance sharing economy product innovation project life cycle ideation minimum viable product testing prototyping implementation fluency english
United Nations Development Programme,Senior Programme Officer ,03.06.2023,23.05.2023,"Master’s degree or higher in business, law, or a related field, Bachelor’s degree in a related field with additional two years of qualifying experience may be accepted in lieu of the Master’s degree Minimum seven years (with Master’s degree) or nine years (with Bachelor’s degree) of experience in project management cycle, at least seven years of leadership experience, with oversight of staff, budgets, and operations, at least seven years of demonstrated experience in resource mobilization with an emphasis on raising funds from multilateral and bilateral aid agencies, foundations, and corporations, excellent interpersonal skills, and the ability to work with groups and organizations both within and outside Serbia, in-depth understanding of the EU integration process Excellent verbal and written skills in English ",Belgrade,Serbia,Europe,1,senior programme officer ,"['senior', 'programme', 'officer']",senior programme officer,master s degree or higher in business  law  or a related field  bachelor s degree in a related field with additional two years of qualifying experience may be accepted in lieu of the master s degree minimum seven years  with master s degree  or nine years  with bachelor s degree  of experience in project management cycle  at least seven years of leadership experience  with oversight of staff  budgets  and operations  at least seven years of demonstrated experience in resource mobilization with an emphasis on raising funds from multilateral and bilateral aid agencies  foundations  and corporations  excellent interpersonal skills  and the ability to work with groups and organizations both within and outside serbia  in depth understanding of the eu integration process excellent verbal and written skills in english ,"['master', 's', 'degree', 'or', 'higher', 'in', 'business', 'law', 'or', 'a', 'related', 'field', 'bachelor', 's', 'degree', 'in', 'a', 'related', 'field', 'with', 'additional', 'two', 'years', 'of', 'qualifying', 'experience', 'may', 'be', 'accepted', 'in', 'lieu', 'of', 'the', 'master', 's', 'degree', 'minimum', 'seven', 'years', 'with', 'master', 's', 'degree', 'or', 'nine', 'years', 'with', 'bachelor', 's', 'degree', 'of', 'experience', 'in', 'project', 'management', 'cycle', 'at', 'least', 'seven', 'years', 'of', 'leadership', 'experience', 'with', 'oversight', 'of', 'staff', 'budgets', 'and', 'operations', 'at', 'least', 'seven', 'years', 'of', 'demonstrated', 'experience', 'in', 'resource', 'mobilization', 'with', 'an', 'emphasis', 'on', 'raising', 'funds', 'from', 'multilateral', 'and', 'bilateral', 'aid', 'agencies', 'foundations', 'and', 'corporations', 'excellent', 'interpersonal', 'skills', 'and', 'the', 'ability', 'to', 'work', 'with', 'groups', 'and', 'organizations', 'both', 'within', 'and', 'outside', 'serbia', 'in', 'depth', 'understanding', 'of', 'the', 'eu', 'integration', 'process', 'excellent', 'verbal', 'and', 'written', 'skills', 'in', 'english']",master degree higher business law field bachelor degree field additional two year qualifying may accepted lieu master degree minimum seven year master degree nine year bachelor degree project management cycle least seven year leadership oversight staff budget operation least seven year demonstrated resource mobilization emphasis raising fund multilateral bilateral aid agency foundation corporation excellent interpersonal skill group organization within outside serbia depth understanding eu integration process excellent verbal written skill english
World Food Programme,Prog. Associate for Cooperating Partners Management ,05.06.2023,24.05.2023,"Minimum of three years in any of these areas, partner­ships management, programme implementation, monitoring, and evaluation for a humanitarian or development agency, familiarity with Project Lifecycle, transfer Modalities (Food, Cash, Voucher), Broad Knowledge of specialised areas (i.e. Nutrition, Vulnerability Analysis & Mapping, etc.), general knowledge of UN system policies, rules, regulations, and procedures in the area of work in various operational contexts is an asset, demonstrates commitment to gather perspectives, analyse options and risks, and propose new ways of doing things Fluency (level C) in the English language, both oral & written, intermediate knowledge of French is an asset ",Cairo,Egypt,Africa,2,prog  associate for cooperating partners management ,"['prog', 'associate', 'for', 'cooperating', 'partners', 'management']",prog associate cooperating partner management,minimum of three years in any of these areas  partner ships management  programme implementation  monitoring  and evaluation for a humanitarian or development agency  familiarity with project lifecycle  transfer modalities  food  cash  voucher   broad knowledge of specialised areas  i e  nutrition  vulnerability analysis   mapping  etc    general knowledge of un system policies  rules  regulations  and procedures in the area of work in various operational contexts is an asset  demonstrates commitment to gather perspectives  analyse options and risks  and propose new ways of doing things fluency  level c  in the english language  both oral   written  intermediate knowledge of french is an asset ,"['minimum', 'of', 'three', 'years', 'in', 'any', 'of', 'these', 'areas', 'partner', 'ships', 'management', 'programme', 'implementation', 'monitoring', 'and', 'evaluation', 'for', 'a', 'humanitarian', 'or', 'development', 'agency', 'familiarity', 'with', 'project', 'lifecycle', 'transfer', 'modalities', 'food', 'cash', 'voucher', 'broad', 'knowledge', 'of', 'specialised', 'areas', 'i', 'e', 'nutrition', 'vulnerability', 'analysis', 'mapping', 'etc', 'general', 'knowledge', 'of', 'un', 'system', 'policies', 'rules', 'regulations', 'and', 'procedures', 'in', 'the', 'area', 'of', 'work', 'in', 'various', 'operational', 'contexts', 'is', 'an', 'asset', 'demonstrates', 'commitment', 'to', 'gather', 'perspectives', 'analyse', 'options', 'and', 'risks', 'and', 'propose', 'new', 'ways', 'of', 'doing', 'things', 'fluency', 'level', 'c', 'in', 'the', 'english', 'language', 'both', 'oral', 'written', 'intermediate', 'knowledge', 'of', 'french', 'is', 'an', 'asset']",minimum three year area partner ship management programme implementation monitoring evaluation humanitarian development agency familiarity project lifecycle transfer modality food cash voucher broad specialised area e nutrition vulnerability analysis mapping etc general un system policy rule regulation procedure area various operational context asset demonstrates commitment gather perspective analyse option risk propose new way thing fluency level c english language oral written intermediate french asset
